resultNumber,censusMetropolitanArea,province,forwardSortationAreaCodes,testDurationInDays,averageRadonConcentrationInBqPerM3,averageThoronConcentrationInBqPerM3
1,Calgary CMA,AB,*,90,89,14
2,Calgary CMA,AB,*,92,18,14
3,Calgary CMA,AB,*,91,114,14
4,Calgary CMA,AB,*,91,185,14
5,Calgary CMA,AB,*,91,71,14
6,Calgary CMA,AB,*,91,35,14
7,Calgary CMA,AB,*,93,102,14
8,Calgary CMA,AB,*,91,322,14
9,Calgary CMA,AB,*,91,119,18
10,Calgary CMA,AB,T1Y,94,125,14
11,Calgary CMA,AB,T1Y,92,123,14
12,Calgary CMA,AB,T1Y,94,114,14
13,Calgary CMA,AB,T1Y,91,91,14
14,Calgary CMA,AB,T2A,90,123,20
15,Calgary CMA,AB,T2A,102,31,14
16,Calgary CMA,AB,T2A,94,158,18
17,Calgary CMA,AB,T2B,106,151,14
18,Calgary CMA,AB,T2B,94,43,14
19,Calgary CMA,AB,T2B,91,82,14
20,Calgary CMA,AB,T2B,114,153,14
21,Calgary CMA,AB,T2B,91,87,14
22,Calgary CMA,AB,T2B,91,116,19
23,Calgary CMA,AB,T2C,109,87,14
24,Calgary CMA,AB,T2C,90,67,14
25,Calgary CMA,AB,T2C,105,119,14
26,Calgary CMA,AB,T2E,94,100,14
27,Calgary CMA,AB,T2E,95,108,14
28,Calgary CMA,AB,T2E,106,107,14
29,Calgary CMA,AB,T2E,91,116,19
30,Calgary CMA,AB,T2H,91,101,14
31,Calgary CMA,AB,T2H,97,137,14
32,Calgary CMA,AB,T2H,91,206,14
33,Calgary CMA,AB,T2J,91,40,14
34,Calgary CMA,AB,T2J,92,245,14
35,Calgary CMA,AB,T2K,91,89,14
36,Calgary CMA,AB,T2K,92,129,14
37,Calgary CMA,AB,T2L,97,98,14
38,Calgary CMA,AB,T2L,90,53,14
39,Calgary CMA,AB,T2L,91,161,14
40,Calgary CMA,AB,T2T,95,56,14
41,Calgary CMA,AB,T2T,100,61,14
42,Calgary CMA,AB,T2T,149,78,14
43,Calgary CMA,AB,T2V,91,97,14
44,Calgary CMA,AB,T2V,89,200,14
45,Calgary CMA,AB,T2W,91,322,14
46,Calgary CMA,AB,T2W,91,344,14
47,Calgary CMA,AB,T2W,100,168,14
48,Calgary CMA,AB,T2W,91,152,14
49,Calgary CMA,AB,T2X,92,154,14
50,Calgary CMA,AB,T2X,97,98,14
51,Calgary CMA,AB,T2Z,118,112,14
52,Calgary CMA,AB,T2Z,98,154,26
53,Calgary CMA,AB,T2Z,93,96,14
54,Calgary CMA,AB,T2Z,99,109,14
55,Calgary CMA,AB,T2Z,90,62,14
56,Calgary CMA,AB,T2Z,91,80,14
57,Calgary CMA,AB,T3A,119,117,14
58,Calgary CMA,AB,T3A,91,85,14
59,Calgary CMA,AB,T3A,97,40,21
60,Calgary CMA,AB,T3A,97,31,14
61,Calgary CMA,AB,T3A,96,122,14
62,Calgary CMA,AB,T3A,92,78,14
63,Calgary CMA,AB,T3B,125,101,14
64,Calgary CMA,AB,T3B,92,81,14
65,Calgary CMA,AB,T3C,61,252,24
66,Calgary CMA,AB,T3C,91,211,14
67,Calgary CMA,AB,T3C,93,34,14
68,Calgary CMA,AB,T3E,92,155,14
69,Calgary CMA,AB,T3E,97,129,14
70,Calgary CMA,AB,T3G,99,95,14
71,Calgary CMA,AB,T3G,91,393,14
72,Calgary CMA,AB,T3G,91,77,14
73,Calgary CMA,AB,T3G,103,144,14
74,Calgary CMA,AB,T3G,91,67,14
75,Calgary CMA,AB,T3H,93,158,14
76,Calgary CMA,AB,T3H,91,209,14
77,Calgary CMA,AB,T3H,92,183,14
78,Calgary CMA,AB,T3H,99,841,14
79,Calgary CMA,AB,T3J,91,229,14
80,Calgary CMA,AB,T3J,91,22,14
81,Calgary CMA,AB,T3K,90,64,14
82,Calgary CMA,AB,T3K,99,97,14
83,Calgary CMA,AB,T3K,98,132,16
84,Calgary CMA,AB,T3L,98,78,14
85,Calgary CMA,AB,T3L,91,150,14
86,Calgary CMA,AB,T3L,91,53,14
87,Calgary CMA,AB,T3M,111,69,20
88,Calgary CMA,AB,T3M,91,98,14
89,Calgary CMA,AB,T3M,91,122,14
90,Calgary CMA,AB,T3M,106,137,14
91,Calgary CMA,AB,T3M,91,94,14
92,Calgary CMA,AB,T3P,91,309,14
93,Calgary CMA,AB,T3P,90,453,14
94,Calgary CMA,AB,T3P,92,173,14
95,Calgary CMA,AB,T3R,91,156,14
96,Calgary CMA,AB,T3R,91,73,14
97,Calgary CMA,AB,T3Z,70,231,14
98,Calgary CMA,AB,T3Z,91,187,14
99,Calgary CMA,AB,T3Z,93,87,14
100,Edmonton CMA,AB,*,111,144,14
101,Edmonton CMA,AB,*,74,97,14
102,Edmonton CMA,AB,*,92,190,14
103,Edmonton CMA,AB,*,92,139,24
104,Edmonton CMA,AB,*,91,115,14
105,Edmonton CMA,AB,T5A,97,87,14
106,Edmonton CMA,AB,T5A,91,65,14
107,Edmonton CMA,AB,T5A,90,94,14
108,Edmonton CMA,AB,T5C,91,107,N/A
109,Edmonton CMA,AB,T5C,92,101,14
110,Edmonton CMA,AB,T5E,91,53,22
111,Edmonton CMA,AB,T5E,97,220,14
112,Edmonton CMA,AB,T5E,93,131,14
113,Edmonton CMA,AB,T5E,101,42,14
114,Edmonton CMA,AB,T5E,94,65,14
115,Edmonton CMA,AB,T5G,91,114,14
116,Edmonton CMA,AB,T5G,86,68,14
117,Edmonton CMA,AB,T5G,107,132,14
118,Edmonton CMA,AB,T5H,91,139,14
119,Edmonton CMA,AB,T5H,92,213,14
120,Edmonton CMA,AB,T5K,93,68,21
121,Edmonton CMA,AB,T5K,93,14,14
122,Edmonton CMA,AB,T5L,92,169,16
123,Edmonton CMA,AB,T5L,103,108,14
124,Edmonton CMA,AB,T5L,91,38,14
125,Edmonton CMA,AB,T5M,91,21,14
126,Edmonton CMA,AB,T5M,91,144,14
127,Edmonton CMA,AB,T5M,98,89,14
128,Edmonton CMA,AB,T5M,91,121,14
129,Edmonton CMA,AB,T5N,110,185,14
130,Edmonton CMA,AB,T5N,91,155,14
131,Edmonton CMA,AB,T5R,91,70,16
132,Edmonton CMA,AB,T5R,97,74,14
133,Edmonton CMA,AB,T5R,84,52,14
134,Edmonton CMA,AB,T5T,88,77,14
135,Edmonton CMA,AB,T5T,91,36,14
136,Edmonton CMA,AB,T5T,91,169,17
137,Edmonton CMA,AB,T5T,97,38,14
138,Edmonton CMA,AB,T5T,98,24,17
139,Edmonton CMA,AB,T5T,103,191,14
140,Edmonton CMA,AB,T5X,91,124,14
141,Edmonton CMA,AB,T5X,101,119,14
142,Edmonton CMA,AB,T5X,92,61,14
143,Edmonton CMA,AB,T5X,98,53,14
144,Edmonton CMA,AB,T5X,90,81,14
145,Edmonton CMA,AB,T5Y,91,77,14
146,Edmonton CMA,AB,T5Y,118,108,20
147,Edmonton CMA,AB,T5Y,91,26,14
148,Edmonton CMA,AB,T5Y,132,36,14
149,Edmonton CMA,AB,T5Y,91,31,14
150,Edmonton CMA,AB,T5Z,98,56,45
151,Edmonton CMA,AB,T5Z,99,95,14
152,Edmonton CMA,AB,T6A,91,108,14
153,Edmonton CMA,AB,T6A,91,197,23
154,Edmonton CMA,AB,T6A,91,115,14
155,Edmonton CMA,AB,T6B,91,216,14
156,Edmonton CMA,AB,T6B,99,62,14
157,Edmonton CMA,AB,T6C,91,263,14
158,Edmonton CMA,AB,T6C,91,294,18
159,Edmonton CMA,AB,T6C,131,78,14
160,Edmonton CMA,AB,T6E,87,134,14
161,Edmonton CMA,AB,T6E,72,121,14
162,Edmonton CMA,AB,T6E,96,106,20
163,Edmonton CMA,AB,T6E,92,386,20
164,Edmonton CMA,AB,T6H,113,134,14
165,Edmonton CMA,AB,T6H,91,137,14
166,Edmonton CMA,AB,T6H,91,155,29
167,Edmonton CMA,AB,T6H,91,94,14
168,Edmonton CMA,AB,T6J,106,173,14
169,Edmonton CMA,AB,T6J,92,85,14
170,Edmonton CMA,AB,T6J,92,57,14
171,Edmonton CMA,AB,T6J,91,166,14
172,Edmonton CMA,AB,T6J,91,173,N/A
173,Edmonton CMA,AB,T6K,91,33,14
174,Edmonton CMA,AB,T6K,97,49,14
175,Edmonton CMA,AB,T6K,90,311,14
176,Edmonton CMA,AB,T6L,90,145,14
177,Edmonton CMA,AB,T6L,104,50,21
178,Edmonton CMA,AB,T6L,94,78,14
179,Edmonton CMA,AB,T6L,91,151,14
180,Edmonton CMA,AB,T6L,92,66,32
181,Edmonton CMA,AB,T6M,116,120,14
182,Edmonton CMA,AB,T6M,91,148,N/A
183,Edmonton CMA,AB,T6P,92,31,14
184,Edmonton CMA,AB,T6P,91,21,14
185,Edmonton CMA,AB,T6R,94,108,14
186,Edmonton CMA,AB,T6R,91,129,36
187,Edmonton CMA,AB,T6R,92,94,14
188,Edmonton CMA,AB,T6T,91,161,16
189,Edmonton CMA,AB,T6T,92,55,14
190,Edmonton CMA,AB,T6V,96,133,14
191,Edmonton CMA,AB,T6V,91,58,14
192,Edmonton CMA,AB,T6W,91,248,14
193,Edmonton CMA,AB,T6W,98,158,14
194,Edmonton CMA,AB,T6X,108,185,14
195,Edmonton CMA,AB,T6X,121,105,22
196,Edmonton CMA,AB,T6X,92,46,14
197,Abbotsford CMA,BC,V2S,121,42,14
198,Abbotsford CMA,BC,V2S,98,51,14
199,Abbotsford CMA,BC,V2S,91,25,14
200,Abbotsford CMA,BC,V2S,100,131,14
201,Abbotsford CMA,BC,V2S,92,90,31
202,Abbotsford CMA,BC,V2S,92,44,14
203,Abbotsford CMA,BC,V2S,92,24,26
204,Abbotsford CMA,BC,V2S,91,62,14
205,Abbotsford CMA,BC,V2S,94,90,14
206,Abbotsford CMA,BC,V2S,92,99,14
207,Abbotsford CMA,BC,V2S,97,23,14
208,Abbotsford CMA,BC,V2S,91,89,14
209,Abbotsford CMA,BC,V2S,92,54,14
210,Abbotsford CMA,BC,V2S,91,118,14
211,Abbotsford CMA,BC,V2S,99,29,14
212,Abbotsford CMA,BC,V2S,70,53,14
213,Abbotsford CMA,BC,V2S,90,68,15
214,Abbotsford CMA,BC,V2S,97,50,14
215,Abbotsford CMA,BC,V2S,119,68,14
216,Abbotsford CMA,BC,V2S,90,41,14
217,Abbotsford CMA,BC,V2S,96,30,14
218,Abbotsford CMA,BC,V2S,121,20,14
219,Abbotsford CMA,BC,V2S,94,24,136
220,Abbotsford CMA,BC,V2S,88,34,14
221,Abbotsford CMA,BC,V2S,90,61,14
222,Abbotsford CMA,BC,V2S,90,44,14
223,Abbotsford CMA,BC,V2S,91,73,14
224,Abbotsford CMA,BC,V2S,91,59,14
225,Abbotsford CMA,BC,V2T,96,88,18
226,Abbotsford CMA,BC,V2T,91,53,14
227,Abbotsford CMA,BC,V2T,91,33,14
228,Abbotsford CMA,BC,V2T,93,76,14
229,Abbotsford CMA,BC,V2T,91,92,14
230,Abbotsford CMA,BC,V2T,91,92,14
231,Abbotsford CMA,BC,V2T,91,23,14
232,Abbotsford CMA,BC,V2T,90,31,14
233,Abbotsford CMA,BC,V2T,91,14,14
234,Abbotsford CMA,BC,V2T,91,26,14
235,Abbotsford CMA,BC,V2T,90,30,14
236,Abbotsford CMA,BC,V2T,91,31,14
237,Abbotsford CMA,BC,V2T,91,20,14
238,Abbotsford CMA,BC,V2T,91,84,14
239,Abbotsford CMA,BC,V2T,91,14,22
240,Abbotsford CMA,BC,V2T,90,99,14
241,Abbotsford CMA,BC,V2T,91,74,14
242,Abbotsford CMA,BC,V2T,92,28,14
243,Abbotsford CMA,BC,V2T,93,30,14
244,Abbotsford CMA,BC,V2T,95,73,14
245,Abbotsford CMA,BC,V2T,99,46,14
246,Abbotsford CMA,BC,V2T,92,32,16
247,Abbotsford CMA,BC,V2T,90,33,23
248,Abbotsford CMA,BC,V2T,105,42,48
249,Abbotsford CMA,BC,V2T,105,23,14
250,Abbotsford CMA,BC,V2T,91,100,14
251,Abbotsford CMA,BC,V2T,90,112,14
252,Abbotsford CMA,BC,V2T,100,43,14
253,Abbotsford CMA,BC,V2T,93,14,14
254,Abbotsford CMA,BC,V2T,132,65,14
255,Abbotsford CMA,BC,V2T,92,44,14
256,Abbotsford CMA,BC,V3G,89,32,14
257,Abbotsford CMA,BC,V3G,98,88,14
258,Abbotsford CMA,BC,V3G,96,465,14
259,Abbotsford CMA,BC,V3G,93,88,14
260,Abbotsford CMA,BC,V3G,97,36,14
261,Abbotsford CMA,BC,V3G,89,25,14
262,Abbotsford CMA,BC,V3G,91,47,18
263,Abbotsford CMA,BC,V3G,91,111,26
264,Abbotsford CMA,BC,V3G,90,121,N/A
265,Abbotsford CMA,BC,V3G,109,33,14
266,Abbotsford CMA,BC,V3G,94,38,14
267,Abbotsford CMA,BC,V3G,92,50,14
268,Abbotsford CMA,BC,V3G,91,74,14
269,Abbotsford CMA,BC,V3G,147,126,14
270,Abbotsford CMA,BC,V3G,92,27,14
271,Abbotsford CMA,BC,V3G,91,70,14
272,Abbotsford CMA,BC,V3G,95,26,14
273,Abbotsford CMA,BC,V3G,92,27,14
274,Abbotsford CMA,BC,V3G,98,82,14
275,Abbotsford CMA,BC,V3G,91,87,14
276,Abbotsford CMA,BC,V3G,99,36,16
277,Abbotsford CMA,BC,V3G,96,49,14
278,Abbotsford CMA,BC,V4X,91,17,14
279,Abbotsford CMA,BC,V4X,96,46,14
280,Abbotsford CMA,BC,V4X,102,55,N/A
281,Abbotsford CMA,BC,V4X,91,46,25
282,Abbotsford CMA,BC,V4X,91,14,50
283,Abbotsford CMA,BC,V4X,87,48,14
284,Abbotsford CMA,BC,V4X,90,85,14
285,Kelowna CMA,BC,V1P,92,83,14
286,Kelowna CMA,BC,V1P,94,166,14
287,Kelowna CMA,BC,V1P,107,61,14
288,Kelowna CMA,BC,V1P,93,177,14
289,Kelowna CMA,BC,V1P,91,166,14
290,Kelowna CMA,BC,V1P,95,40,14
291,Kelowna CMA,BC,V1P,99,52,16
292,Kelowna CMA,BC,V1P,90,295,14
293,Kelowna CMA,BC,V1P,123,57,14
294,Kelowna CMA,BC,V1P,96,71,32
295,Kelowna CMA,BC,V1P,91,77,14
296,Kelowna CMA,BC,V1P,93,43,14
297,Kelowna CMA,BC,V1P,91,88,14
298,Kelowna CMA,BC,V1V,99,213,14
299,Kelowna CMA,BC,V1V,90,145,14
300,Kelowna CMA,BC,V1V,90,75,21
301,Kelowna CMA,BC,V1V,92,373,14
302,Kelowna CMA,BC,V1V,107,43,14
303,Kelowna CMA,BC,V1V,91,82,14
304,Kelowna CMA,BC,V1V,146,283,20
305,Kelowna CMA,BC,V1V,100,97,14
306,Kelowna CMA,BC,V1V,90,117,28
307,Kelowna CMA,BC,V1V,91,86,14
308,Kelowna CMA,BC,V1V,94,175,14
309,Kelowna CMA,BC,V1V,99,70,14
310,Kelowna CMA,BC,V1V,91,238,14
311,Kelowna CMA,BC,V1V,95,66,14
312,Kelowna CMA,BC,V1V,106,131,14
313,Kelowna CMA,BC,V1V,95,90,14
314,Kelowna CMA,BC,V1V,106,87,17
315,Kelowna CMA,BC,V1W,91,83,21
316,Kelowna CMA,BC,V1W,99,221,14
317,Kelowna CMA,BC,V1W,96,104,14
318,Kelowna CMA,BC,V1W,96,51,14
319,Kelowna CMA,BC,V1W,107,88,14
320,Kelowna CMA,BC,V1W,97,64,14
321,Kelowna CMA,BC,V1W,98,31,14
322,Kelowna CMA,BC,V1W,91,84,14
323,Kelowna CMA,BC,V1W,95,49,14
324,Kelowna CMA,BC,V1W,94,244,14
325,Kelowna CMA,BC,V1W,91,161,14
326,Kelowna CMA,BC,V1W,99,145,14
327,Kelowna CMA,BC,V1W,89,96,14
328,Kelowna CMA,BC,V1W,92,113,14
329,Kelowna CMA,BC,V1W,96,14,71
330,Kelowna CMA,BC,V1W,91,104,23
331,Kelowna CMA,BC,V1W,91,87,14
332,Kelowna CMA,BC,V1W,91,174,17
333,Kelowna CMA,BC,V1X,91,62,14
334,Kelowna CMA,BC,V1X,94,107,14
335,Kelowna CMA,BC,V1X,105,147,14
336,Kelowna CMA,BC,V1X,91,14,232
337,Kelowna CMA,BC,V1X,115,203,14
338,Kelowna CMA,BC,V1X,91,150,14
339,Kelowna CMA,BC,V1X,92,78,14
340,Kelowna CMA,BC,V1X,97,72,14
341,Kelowna CMA,BC,V1X,97,139,14
342,Kelowna CMA,BC,V1X,98,149,14
343,Kelowna CMA,BC,V1X,90,170,14
344,Kelowna CMA,BC,V1X,99,185,14
345,Kelowna CMA,BC,V1X,102,151,14
346,Kelowna CMA,BC,V1X,113,40,14
347,Kelowna CMA,BC,V1X,91,78,31
348,Kelowna CMA,BC,V1X,91,124,14
349,Kelowna CMA,BC,V1Y,91,79,30
350,Kelowna CMA,BC,V1Y,98,81,14
351,Kelowna CMA,BC,V1Y,94,53,14
352,Kelowna CMA,BC,V1Y,101,46,14
353,Kelowna CMA,BC,V1Y,91,188,14
354,Kelowna CMA,BC,V1Y,91,79,14
355,Kelowna CMA,BC,V1Y,91,52,14
356,Kelowna CMA,BC,V1Y,90,66,14
357,Kelowna CMA,BC,V1Y,91,39,19
358,Kelowna CMA,BC,V1Y,115,107,14
359,Kelowna CMA,BC,V1Y,105,29,34
360,Kelowna CMA,BC,V1Y,91,51,14
361,Kelowna CMA,BC,V1Y,101,75,14
362,Kelowna CMA,BC,V1Y,99,84,14
363,Kelowna CMA,BC,V1Y,92,85,14
364,Kelowna CMA,BC,V1Y,102,38,27
365,Kelowna CMA,BC,V1Z,100,83,14
366,Kelowna CMA,BC,V1Z,91,271,32
367,Kelowna CMA,BC,V1Z,91,61,14
368,Kelowna CMA,BC,V1Z,91,589,27
369,Kelowna CMA,BC,V1Z,91,147,14
370,Kelowna CMA,BC,V1Z,91,46,14
371,Kelowna CMA,BC,V1Z,92,42,25
372,Kelowna CMA,BC,V1Z,92,70,14
373,Kelowna CMA,BC,V1Z,96,139,14
374,Kelowna CMA,BC,V1Z,113,55,14
375,Kelowna CMA,BC,V1Z,90,193,14
376,Kelowna CMA,BC,V4T,97,80,14
377,Kelowna CMA,BC,V4T,101,496,14
378,Kelowna CMA,BC,V4T,98,150,14
379,Kelowna CMA,BC,V4T,93,34,14
380,Kelowna CMA,BC,V4T,94,54,14
381,Kelowna CMA,BC,V4T,100,83,14
382,Kelowna CMA,BC,V4T,91,365,14
383,Kelowna CMA,BC,V4T,92,152,14
384,Kelowna CMA,BC,V4T,92,91,14
385,Kelowna CMA,BC,V4T,94,120,14
386,Kelowna CMA,BC,V4T,101,211,23
387,Kelowna CMA,BC,V4T,92,256,14
388,Kelowna CMA,BC,V4T,122,82,14
389,Kelowna CMA,BC,V4T,91,1174,14
390,Kelowna CMA,BC,V4T,91,183,14
391,Kelowna CMA,BC,V4T,95,181,20
392,Kelowna CMA,BC,V4T,91,286,14
393,Vancouver CMA,BC,*,91,74,14
394,Vancouver CMA,BC,*,97,15,14
395,Vancouver CMA,BC,*,96,14,14
396,Vancouver CMA,BC,*,97,14,14
397,Vancouver CMA,BC,*,105,15,14
398,Vancouver CMA,BC,*,94,26,14
399,Vancouver CMA,BC,*,96,14,N/A
400,Vancouver CMA,BC,*,100,27,14
401,Vancouver CMA,BC,*,95,41,14
402,Vancouver CMA,BC,*,96,21,14
403,Vancouver CMA,BC,*,91,32,14
404,Vancouver CMA,BC,*,91,210,14
405,Vancouver CMA,BC,*,91,14,14
406,Vancouver CMA,BC,*,91,23,14
407,Vancouver CMA,BC,*,91,20,14
408,Vancouver CMA,BC,*,93,46,14
409,Vancouver CMA,BC,*,95,14,14
410,Vancouver CMA,BC,*,92,14,20
411,Vancouver CMA,BC,*,91,14,14
412,Vancouver CMA,BC,*,91,14,22
413,Vancouver CMA,BC,*,119,23,14
414,Vancouver CMA,BC,*,94,32,14
415,Vancouver CMA,BC,*,98,29,14
416,Vancouver CMA,BC,*,91,32,14
417,Vancouver CMA,BC,*,91,24,14
418,Vancouver CMA,BC,*,98,33,16
419,Vancouver CMA,BC,*,91,14,16
420,Vancouver CMA,BC,*,90,35,14
421,Vancouver CMA,BC,*,106,14,14
422,Vancouver CMA,BC,*,76,23,14
423,Vancouver CMA,BC,*,89,14,14
424,Vancouver CMA,BC,*,111,25,17
425,Vancouver CMA,BC,*,91,14,14
426,Vancouver CMA,BC,*,91,17,15
427,Vancouver CMA,BC,*,92,24,14
428,Vancouver CMA,BC,*,110,35,14
429,Vancouver CMA,BC,*,91,14,22
430,Vancouver CMA,BC,*,169,31,14
431,Vancouver CMA,BC,*,91,22,23
432,Vancouver CMA,BC,*,97,67,14
433,Vancouver CMA,BC,*,92,39,14
434,Vancouver CMA,BC,*,92,22,14
435,Vancouver CMA,BC,*,90,23,14
436,Vancouver CMA,BC,*,91,29,14
437,Vancouver CMA,BC,*,92,14,14
438,Vancouver CMA,BC,*,105,28,14
439,Vancouver CMA,BC,*,94,37,14
440,Vancouver CMA,BC,*,98,14,14
441,Vancouver CMA,BC,*,94,14,14
442,Vancouver CMA,BC,*,91,73,14
443,Vancouver CMA,BC,*,90,49,14
444,Vancouver CMA,BC,*,92,19,14
445,Vancouver CMA,BC,V2W,91,38,14
446,Vancouver CMA,BC,V2W,65,29,14
447,Vancouver CMA,BC,V3A,92,79,14
448,Vancouver CMA,BC,V3A,99,30,14
449,Vancouver CMA,BC,V3J,170,14,14
450,Vancouver CMA,BC,V3J,91,27,14
451,Vancouver CMA,BC,V3L,91,21,14
452,Vancouver CMA,BC,V3L,91,49,14
453,Vancouver CMA,BC,V3N,90,14,34
454,Vancouver CMA,BC,V3N,91,14,14
455,Vancouver CMA,BC,V3W,124,23,14
456,Vancouver CMA,BC,V3W,92,27,14
457,Vancouver CMA,BC,V4A,98,20,14
458,Vancouver CMA,BC,V4A,91,26,14
459,Vancouver CMA,BC,V4C,96,20,14
460,Vancouver CMA,BC,V4C,102,14,14
461,Vancouver CMA,BC,V4C,92,14,14
462,Vancouver CMA,BC,V4K,92,15,14
463,Vancouver CMA,BC,V4K,93,14,14
464,Vancouver CMA,BC,V4M,92,28,14
465,Vancouver CMA,BC,V4M,109,25,14
466,Vancouver CMA,BC,V4R,92,14,14
467,Vancouver CMA,BC,V4R,92,35,14
468,Vancouver CMA,BC,V5A,91,20,14
469,Vancouver CMA,BC,V5A,89,18,14
470,Vancouver CMA,BC,V5B,91,14,14
471,Vancouver CMA,BC,V5B,91,48,14
472,Vancouver CMA,BC,V5H,92,18,14
473,Vancouver CMA,BC,V5H,91,14,14
474,Vancouver CMA,BC,V5J,101,67,14
475,Vancouver CMA,BC,V5J,96,39,14
476,Vancouver CMA,BC,V6K,123,14,14
477,Vancouver CMA,BC,V6K,91,20,14
478,Vancouver CMA,BC,V6Y,95,26,14
479,Vancouver CMA,BC,V6Y,92,14,17
480,Vancouver CMA,BC,V7E,91,24,N/A
481,Vancouver CMA,BC,V7E,93,16,14
482,Vancouver CMA,BC,V7J,108,14,14
483,Vancouver CMA,BC,V7J,93,25,14
484,Vancouver CMA,BC,V7L,95,14,18
485,Vancouver CMA,BC,V7L,92,94,14
486,Vancouver CMA,BC,V7N,96,43,14
487,Vancouver CMA,BC,V7N,97,23,14
488,Vancouver CMA,BC,V7V,91,39,20
489,Vancouver CMA,BC,V7V,91,77,14
490,Victoria CMA,BC,V8N,101,20,14
491,Victoria CMA,BC,V8N,90,37,14
492,Victoria CMA,BC,V8N,91,55,15
493,Victoria CMA,BC,V8N,91,46,14
494,Victoria CMA,BC,V8N,91,26,14
495,Victoria CMA,BC,V8N,90,55,14
496,Victoria CMA,BC,V8N,91,33,14
497,Victoria CMA,BC,V8N,101,29,14
498,Victoria CMA,BC,V8N,92,31,14
499,Victoria CMA,BC,V8N,91,51,14
500,Victoria CMA,BC,V8P,96,39,14
501,Victoria CMA,BC,V8P,92,14,14
502,Victoria CMA,BC,V8P,92,22,14
503,Victoria CMA,BC,V8P,88,126,14
504,Victoria CMA,BC,V8P,51,26,44
505,Victoria CMA,BC,V8R,95,45,14
506,Victoria CMA,BC,V8R,94,22,14
507,Victoria CMA,BC,V8R,82,19,14
508,Victoria CMA,BC,V8R,92,20,18
509,Victoria CMA,BC,V8R,91,29,14
510,Victoria CMA,BC,V8R,92,18,14
511,Victoria CMA,BC,V8R,91,20,14
512,Victoria CMA,BC,V8R,102,18,14
513,Victoria CMA,BC,V8S,97,32,14
514,Victoria CMA,BC,V8S,112,30,14
515,Victoria CMA,BC,V8S,94,29,14
516,Victoria CMA,BC,V8S,92,32,14
517,Victoria CMA,BC,V8S,92,24,14
518,Victoria CMA,BC,V8S,123,34,14
519,Victoria CMA,BC,V8S,222,41,14
520,Victoria CMA,BC,V8T,97,28,14
521,Victoria CMA,BC,V8T,90,61,14
522,Victoria CMA,BC,V8T,91,37,14
523,Victoria CMA,BC,V8T,91,35,14
524,Victoria CMA,BC,V8T,90,74,14
525,Victoria CMA,BC,V8T,93,29,14
526,Victoria CMA,BC,V8V,91,25,14
527,Victoria CMA,BC,V8V,91,26,14
528,Victoria CMA,BC,V8V,90,15,14
529,Victoria CMA,BC,V8V,108,17,14
530,Victoria CMA,BC,V8V,95,14,25
531,Victoria CMA,BC,V8V,91,18,14
532,Victoria CMA,BC,V8V,92,26,14
533,Victoria CMA,BC,V8V,96,14,23
534,Victoria CMA,BC,V8X,100,18,14
535,Victoria CMA,BC,V8X,91,30,16
536,Victoria CMA,BC,V8X,95,28,14
537,Victoria CMA,BC,V8X,116,59,14
538,Victoria CMA,BC,V8X,107,65,14
539,Victoria CMA,BC,V8X,91,14,14
540,Victoria CMA,BC,V8X,107,29,14
541,Victoria CMA,BC,V8X,91,23,14
542,Victoria CMA,BC,V8Y,91,28,14
543,Victoria CMA,BC,V8Y,91,41,14
544,Victoria CMA,BC,V8Y,92,53,32
545,Victoria CMA,BC,V8Z,97,77,14
546,Victoria CMA,BC,V8Z,95,30,14
547,Victoria CMA,BC,V8Z,100,43,14
548,Victoria CMA,BC,V8Z,93,31,14
549,Victoria CMA,BC,V8Z,91,24,14
550,Victoria CMA,BC,V8Z,93,14,14
551,Victoria CMA,BC,V8Z,93,47,14
552,Victoria CMA,BC,V8Z,91,61,14
553,Victoria CMA,BC,V8Z,98,119,14
554,Victoria CMA,BC,V9A,90,54,20
555,Victoria CMA,BC,V9A,111,37,14
556,Victoria CMA,BC,V9A,96,17,14
557,Victoria CMA,BC,V9A,116,14,14
558,Victoria CMA,BC,V9A,91,22,14
559,Victoria CMA,BC,V9A,98,14,14
560,Victoria CMA,BC,V9A,91,66,14
561,Victoria CMA,BC,V9A,91,14,14
562,Victoria CMA,BC,V9A,97,69,14
563,Victoria CMA,BC,V9B,97,78,14
564,Victoria CMA,BC,V9B,94,34,14
565,Victoria CMA,BC,V9B,95,14,14
566,Victoria CMA,BC,V9B,91,21,14
567,Victoria CMA,BC,V9B,92,28,14
568,Victoria CMA,BC,V9B,90,60,14
569,Victoria CMA,BC,V9B,92,45,14
570,Victoria CMA,BC,V9B,149,31,14
571,Victoria CMA,BC,V9B,91,38,28
572,Victoria CMA,BC,V9B,101,14,14
573,Victoria CMA,BC,V9B,90,75,14
574,Victoria CMA,BC,V9C,122,32,14
575,Victoria CMA,BC,V9C,95,174,23
576,Victoria CMA,BC,V9C,91,14,16
577,Victoria CMA,BC,V9C,61,21,29
578,Victoria CMA,BC,V9C,91,19,14
579,Victoria CMA,BC,V9C,92,23,14
580,Victoria CMA,BC,V9C,92,47,14
581,Victoria CMA,BC,V9E,91,54,14
582,Victoria CMA,BC,V9E,90,23,14
583,Victoria CMA,BC,V9E,91,45,14
584,Victoria CMA,BC,V9E,74,28,14
585,Victoria CMA,BC,V9E,91,56,14
586,Victoria CMA,BC,V9E,91,26,14
587,Victoria CMA,BC,V9E,109,38,14
